Sub,Threads 2,Threads 4,Threads 8,Threads 16,Threads 32
Sub1,6261 3270 2328 1781,4418 2289 1605 1201,3350 1790 1212 925,3122 1578 1112 790,2835 1451 985 720
Sub2,6274 3289 2317 1748,4436 2301 1603 1209,3369 1773 1235 922,3137 1565 1106 801,2835 1440 959 760
Sub3,6267 3271 2338 1766,4431 2291 1580 1228,3345 1786 1224 905,3166 1577 1105 833,2833 1463 972 749
Sub4,6278 3299 2335 1755,4450 2320 1630 1222,3325 1765 1240 945,3140 1585 1126 820,2850 1480 999 758
Sub5,6259 3260 2320 1776,4422 2312 1591 1203,3349 1780 1225 915,3145 1580 1101 849,2835 1463 970 750
Sub6,6290 3269 2340 1789,4426 2322 1606 1223,3363 1780 1229 912,3120 1600 1095 810,2845 1473 987 765
